year,month,rainfall_mm,oblast
2015,1,27.59,Akmolinskaya
2015,2,13.16,Akmolinskaya
2015,3,27.28,Akmolinskaya
2015,4,38.4,Akmolinskaya
2015,5,69.75,Akmolinskaya
2015,6,41.7,Akmolinskaya
2015,7,41.54,Akmolinskaya
2015,8,26.97,Akmolinskaya
2015,9,12.3,Akmolinskaya
2015,10,27.28,Akmolinskaya
2015,11,30.9,Akmolinskaya
2015,12,44.64,Akmolinskaya
2016,1,28.52,Akmolinskaya
2016,2,12.18,Akmolinskaya
2016,3,32.86,Akmolinskaya
2016,4,32.7,Akmolinskaya
2016,5,26.97,Akmolinskaya
2016,6,42.9,Akmolinskaya
2016,7,63.86,Akmolinskaya
2016,8,8.68,Akmolinskaya
2016,9,45.0,Akmolinskaya
2016,10,31.93,Akmolinskaya
2016,11,27.6,Akmolinskaya
2016,12,53.63,Akmolinskaya
2017,1,17.98,Akmolinskaya
2017,2,18.76,Akmolinskaya
2017,3,18.91,Akmolinskaya
2017,4,20.4,Akmolinskaya
2017,5,31.31,Akmolinskaya
2017,6,15.6,Akmolinskaya
2017,7,40.61,Akmolinskaya
2017,8,6.2,Akmolinskaya
2017,9,10.2,Akmolinskaya
2017,10,35.34,Akmolinskaya
2017,11,38.7,Akmolinskaya
2017,12,18.29,Akmolinskaya
2018,1,15.19,Akmolinskaya
2018,2,8.4,Akmolinskaya
2018,3,41.85,Akmolinskaya
2018,4,38.1,Akmolinskaya
2018,5,51.77,Akmolinskaya
2018,6,66.6,Akmolinskaya
2018,7,37.51,Akmolinskaya
2018,8,46.5,Akmolinskaya
2018,9,18.3,Akmolinskaya
2018,10,49.6,Akmolinskaya
2018,11,33.6,Akmolinskaya
2018,12,9.3,Akmolinskaya
2019,1,12.71,Akmolinskaya
2019,2,23.24,Akmolinskaya
2019,3,23.87,Akmolinskaya
2019,4,36.3,Akmolinskaya
2019,5,17.67,Akmolinskaya
2019,6,53.7,Akmolinskaya
2019,7,25.42,Akmolinskaya
2019,8,28.83,Akmolinskaya
2019,9,44.7,Akmolinskaya
2019,10,28.52,Akmolinskaya
2019,11,42.0,Akmolinskaya
2019,12,33.17,Akmolinskaya
2020,1,45.57,Akmolinskaya
2020,2,40.31,Akmolinskaya
2020,3,6.2,Akmolinskaya
2020,4,63.0,Akmolinskaya
2020,5,13.95,Akmolinskaya
2020,6,42.6,Akmolinskaya
2020,7,63.55,Akmolinskaya
2020,8,17.98,Akmolinskaya
2020,9,26.7,Akmolinskaya
2020,10,22.01,Akmolinskaya
2020,11,29.7,Akmolinskaya
2020,12,10.85,Akmolinskaya
2021,1,13.64,Akmolinskaya
2021,2,39.76,Akmolinskaya
2021,3,32.24,Akmolinskaya
2021,4,12.6,Akmolinskaya
2021,5,19.53,Akmolinskaya
2021,6,21.0,Akmolinskaya
2021,7,31.62,Akmolinskaya
2021,8,24.49,Akmolinskaya
2021,9,39.3,Akmolinskaya
2021,10,15.81,Akmolinskaya
2021,11,35.4,Akmolinskaya
2021,12,23.87,Akmolinskaya
2022,1,21.39,Akmolinskaya
2022,2,18.76,Akmolinskaya
2022,3,30.69,Akmolinskaya
2022,4,5.4,Akmolinskaya
2022,5,11.47,Akmolinskaya
2022,6,25.5,Akmolinskaya
2022,7,44.33,Akmolinskaya
2022,8,21.08,Akmolinskaya
2022,9,12.6,Akmolinskaya
2022,10,27.59,Akmolinskaya
2022,11,49.5,Akmolinskaya
