year,month,rainfall_mm,temp_c,oblast
2015,1,27.59,-16.28,Akmolinskaya
2015,2,13.16,-13.95,Akmolinskaya
2015,3,27.28,-7.4,Akmolinskaya
2015,4,38.4,4.18,Akmolinskaya
2015,5,69.75,14.75,Akmolinskaya
2015,6,41.7,21.2,Akmolinskaya
2015,7,41.54,20.99,Akmolinskaya
2015,8,26.97,18.08,Akmolinskaya
2015,9,12.3,11.93,Akmolinskaya
2015,10,27.28,2.37,Akmolinskaya
2015,11,30.9,-6.96,Akmolinskaya
2015,12,44.64,-8.99,Akmolinskaya
2016,1,28.52,-17.7,Akmolinskaya
2016,2,12.18,-10.04,Akmolinskaya
2016,3,32.86,-2.44,Akmolinskaya
2016,4,32.7,8.11,Akmolinskaya
2016,5,26.97,13.08,Akmolinskaya
2016,6,42.9,18.08,Akmolinskaya
2016,7,63.86,19.82,Akmolinskaya
2016,8,8.68,20.58,Akmolinskaya
2016,9,45.0,13.76,Akmolinskaya
2016,10,31.93,-0.52,Akmolinskaya
2016,11,27.6,-12.28,Akmolinskaya
2016,12,53.63,-12.78,Akmolinskaya
2017,1,17.98,-13.41,Akmolinskaya
2017,2,18.76,-14.27,Akmolinskaya
2017,3,18.91,-7.95,Akmolinskaya
2017,4,20.4,5.22,Akmolinskaya
2017,5,31.31,13.83,Akmolinskaya
2017,6,15.6,21.28,Akmolinskaya
2017,7,40.61,20.73,Akmolinskaya
2017,8,6.2,20.96,Akmolinskaya
2017,9,10.2,12.91,Akmolinskaya
2017,10,35.34,2.33,Akmolinskaya
2017,11,38.7,-3.52,Akmolinskaya
2017,12,18.29,-14.38,Akmolinskaya
2018,1,15.19,-23.14,Akmolinskaya
2018,2,8.4,-13.71,Akmolinskaya
2018,3,41.85,-8.64,Akmolinskaya
2018,4,38.1,4.29,Akmolinskaya
2018,5,51.77,9.76,Akmolinskaya
2018,6,66.6,17.39,Akmolinskaya
2018,7,37.51,21.32,Akmolinskaya
2018,8,46.5,18.07,Akmolinskaya
2018,9,18.3,10.99,Akmolinskaya
2018,10,49.6,3.98,Akmolinskaya
2018,11,33.6,-7.25,Akmolinskaya
2018,12,9.3,-18.55,Akmolinskaya
2019,1,12.71,-15.97,Akmolinskaya
2019,2,23.24,-14.86,Akmolinskaya
2019,3,23.87,-4.17,Akmolinskaya
2019,4,36.3,5.02,Akmolinskaya
2019,5,17.67,13.2,Akmolinskaya
2019,6,53.7,16.96,Akmolinskaya
2019,7,25.42,22.93,Akmolinskaya
2019,8,28.83,19.67,Akmolinskaya
2019,9,44.7,10.74,Akmolinskaya
2019,10,28.52,6.16,Akmolinskaya
2019,11,42.0,-10.36,Akmolinskaya
2019,12,33.17,-10.82,Akmolinskaya
2020,1,45.57,-11.03,Akmolinskaya
2020,2,40.31,-9.04,Akmolinskaya
2020,3,6.2,-5.86,Akmolinskaya
2020,4,63.0,8.34,Akmolinskaya
2020,5,13.95,17.17,Akmolinskaya
2020,6,42.6,18.28,Akmolinskaya
2020,7,63.55,21.51,Akmolinskaya
2020,8,17.98,19.45,Akmolinskaya
2020,9,26.7,10.84,Akmolinskaya
2020,10,22.01,3.55,Akmolinskaya
2020,11,29.7,-6.93,Akmolinskaya
2020,12,10.85,-17.37,Akmolinskaya
2021,1,13.64,-18.72,Akmolinskaya
2021,2,39.76,-13.38,Akmolinskaya
2021,3,32.24,-8.52,Akmolinskaya
2021,4,12.6,4.77,Akmolinskaya
2021,5,19.53,17.89,Akmolinskaya
2021,6,21.0,19.33,Akmolinskaya
2021,7,31.62,21.67,Akmolinskaya
2021,8,24.49,21.35,Akmolinskaya
2021,9,39.3,10.18,Akmolinskaya
2021,10,15.81,3.14,Akmolinskaya
2021,11,35.4,-6.79,Akmolinskaya
2021,12,23.87,-13.02,Akmolinskaya
2022,1,21.39,-14.88,Akmolinskaya
2022,2,18.76,-11.64,Akmolinskaya
2022,3,30.69,-8.27,Akmolinskaya
2022,4,5.4,7.61,Akmolinskaya
2022,5,11.47,15.36,Akmolinskaya
2022,6,25.5,20.76,Akmolinskaya
2022,7,44.33,22.71,Akmolinskaya
2022,8,21.08,18.53,Akmolinskaya
2022,9,12.6,14.42,Akmolinskaya
2022,10,27.59,4.23,Akmolinskaya
