oblast,year,month,ndvi
Almatinskaya,2015,1,0.0132
Almatinskaya,2015,2,0.1362
Almatinskaya,2015,3,0.151
Almatinskaya,2015,4,0.1836
Almatinskaya,2015,5,0.1823
Almatinskaya,2015,6,0.1625
Almatinskaya,2015,7,0.1522
Almatinskaya,2015,8,0.1519
Almatinskaya,2015,9,0.1406
Almatinskaya,2015,10,0.1602
Almatinskaya,2015,11,0.1649
Almatinskaya,2015,12,0.0792
Almatinskaya,2016,1,0.0472
Almatinskaya,2016,2,0.0752
Almatinskaya,2016,3,0.1778
Almatinskaya,2016,4,0.2239
Almatinskaya,2016,5,0.2737
Almatinskaya,2016,6,0.2689
Almatinskaya,2016,7,0.2527
Almatinskaya,2016,8,0.2176
Almatinskaya,2016,9,0.2225
Almatinskaya,2016,10,0.2033
Almatinskaya,2016,11,0.019
Almatinskaya,2016,12,0.1114
Almatinskaya,2017,1,0.009
Almatinskaya,2017,2,0.1064
Almatinskaya,2017,3,0.173
Almatinskaya,2017,4,0.199
Almatinskaya,2017,5,0.2316
Almatinskaya,2017,6,0.1591
Almatinskaya,2017,7,0.1656
Almatinskaya,2017,8,0.1654
Almatinskaya,2017,9,0.189
Almatinskaya,2017,10,0.1537
Almatinskaya,2017,11,0.1737
Almatinskaya,2017,12,0.0979
Almatinskaya,2018,1,0.0744
Almatinskaya,2018,2,0.0878
Almatinskaya,2018,3,0.1862
Almatinskaya,2018,4,0.2208
Almatinskaya,2018,5,0.2092
Almatinskaya,2018,6,0.2084
Almatinskaya,2018,7,0.2353
Almatinskaya,2018,8,0.2154
Almatinskaya,2018,9,0.1813
Almatinskaya,2018,10,0.1686
Almatinskaya,2018,11,0.0836
Almatinskaya,2018,12,0.0735
Almatinskaya,2019,1,0.0732
Almatinskaya,2019,2,0.0695
Almatinskaya,2019,3,0.1889
Almatinskaya,2019,4,0.241
Almatinskaya,2019,5,0.2245
Almatinskaya,2019,6,0.2117
Almatinskaya,2019,7,0.1972
Almatinskaya,2019,8,0.188
Almatinskaya,2019,9,0.1767
Almatinskaya,2019,10,0.1816
Almatinskaya,2019,11,0.1729
Almatinskaya,2019,12,0.0865
Almatinskaya,2020,1,0.0018
Almatinskaya,2020,2,0.1658
Almatinskaya,2020,3,0.1701
Almatinskaya,2020,4,0.2125
Almatinskaya,2020,5,0.2498
Almatinskaya,2020,6,0.1982
Almatinskaya,2020,7,0.1725
Almatinskaya,2020,8,0.1604
Almatinskaya,2020,9,0.1603
Almatinskaya,2020,10,0.157
Almatinskaya,2020,11,0.1493
Almatinskaya,2020,12,0.0392
Almatinskaya,2021,1,-0.0006
Almatinskaya,2021,2,0.0671
Almatinskaya,2021,3,0.1684
Almatinskaya,2021,4,0.2312
Almatinskaya,2021,5,0.229
Almatinskaya,2021,6,0.1732
Almatinskaya,2021,7,0.1467
Almatinskaya,2021,8,0.1452
Almatinskaya,2021,9,0.1402
Almatinskaya,2021,10,0.1434
Almatinskaya,2021,11,0.1332
Almatinskaya,2021,12,0.137
Almatinskaya,2022,1,0.0722
Almatinskaya,2022,2,0.074
Almatinskaya,2022,3,0.1315
Almatinskaya,2022,4,0.1767
Almatinskaya,2022,5,0.1809
Almatinskaya,2022,6,0.1477
Almatinskaya,2022,7,0.1361
Almatinskaya,2022,8,0.1318
Almatinskaya,2022,9,0.1272
Almatinskaya,2022,10,0.1537
Almatinskaya,2022,11,0.0781
Almatinskaya,2022,12,-0.0062
Almatinskaya,2023,1,-0.0126
Almatinskaya,2023,2,-0.036
Almatinskaya,2023,3,0.1409
Almatinskaya,2023,4,0.165
Almatinskaya,2023,5,0.1886
Almatinskaya,2023,6,0.16
Almatinskaya,2023,7,0.1476
Almatinskaya,2023,8,0.1457
Almatinskaya,2023,9,0.1511
Almatinskaya,2023,10,0.1382
Almatinskaya,2023,11,0.1402
Almatinskaya,2023,12,0.1546
Almatinskaya,2024,1,0.0721
Almatinskaya,2024,2,-0.0018
Almatinskaya,2024,3,0.1456
Almatinskaya,2024,4,0.188
Almatinskaya,2024,5,0.1674
Almatinskaya,2024,6,0.1395
Almatinskaya,2024,7,0.1329
Almatinskaya,2024,8,0.1353
Almatinskaya,2024,9,0.1472
Almatinskaya,2024,10,0.1432
Almatinskaya,2024,11,0.145
Almatinskaya,2024,12,0.0102
Almatinskaya,2015,1,0.0132
Almatinskaya,2015,2,0.1362
Almatinskaya,2015,3,0.151
Almatinskaya,2015,4,0.1836
Almatinskaya,2015,5,0.1823
Almatinskaya,2015,6,0.1625
Almatinskaya,2015,7,0.1522
Almatinskaya,2015,8,0.1519
Almatinskaya,2015,9,0.1406
Almatinskaya,2015,10,0.1602
Almatinskaya,2015,11,0.1649
Almatinskaya,2015,12,0.0792
Almatinskaya,2016,1,0.0472
Almatinskaya,2016,2,0.0752
Almatinskaya,2016,3,0.1778
Almatinskaya,2016,4,0.2239
Almatinskaya,2016,5,0.2737
Almatinskaya,2016,6,0.2689
Almatinskaya,2016,7,0.2527
Almatinskaya,2016,8,0.2176
Almatinskaya,2016,9,0.2225
Almatinskaya,2016,10,0.2033
Almatinskaya,2016,11,0.019
Almatinskaya,2016,12,0.1114
Almatinskaya,2017,1,0.009
Almatinskaya,2017,2,0.1064
Almatinskaya,2017,3,0.173
Almatinskaya,2017,4,0.199
Almatinskaya,2017,5,0.2316
Almatinskaya,2017,6,0.1591
Almatinskaya,2017,7,0.1656
Almatinskaya,2017,8,0.1654
Almatinskaya,2017,9,0.189
Almatinskaya,2017,10,0.1537
Almatinskaya,2017,11,0.1737
Almatinskaya,2017,12,0.0979
Almatinskaya,2018,1,0.0744
Almatinskaya,2018,2,0.0878
